JUDET,UAT,COD SIRUTA,NR. Birou electoral,Nr SV,Sediu SV,Adresa SV,Adresa SV descriptivă,Localitate componentă / Sat aparţinător,Cod Arteră,Arteră,Număr imobil / Alfabetic,Observaţii
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62148,Strada Bujorului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62749,Intrarea Cactuşilor,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62822,Strada Dakar,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62824,Strada Guatemala,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62827,Aleea Havana,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62826,Aleea Lagos,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62145,Strada Liliacului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62825,Aleea Lima,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58887,Strada Limpejoarei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58910,Strada Liţa,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62823,Strada Managua,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62828,Aleea Panama,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59764,Strada Pătulea (Strada Ing. Pătulea),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62434,Drumul Ponoarele,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62820,Strada Santiago,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60871,Intrarea Străuleşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60675,Strada Şinca,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,28,ŞCOALA GIMNAZIALĂ SPECIALĂ NR.8,"Loc. BUCUREŞTI SECTORUL 1,  Strada Victor Daimaca (Strada Justin Georgescu) , Nr. 2",Str - VICTOR DAIMACA - 2; CP 013278,BUCUREŞTI SECTORUL 1,57001,Strada Căiuţi,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57236,Strada Ciacova,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58690,Strada Ireşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59269,Strada Mârşa (Strada Mîrşa),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59211,Strada Mihăileni,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59436,Strada Napoca,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59440,Strada Nataţiei,numere impare nr. 1 -55# numere pare nr. 2 -44 A#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62147,Strada Nuferilor,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60923,Strada Şuşiţa,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61078,Strada Târnăveni (Strada Tîrnăveni),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62829,Aleea Tripoli,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61202,Strada Turnu Roşu (Strada Turnul Roşu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62035,Intrarea Victor Daimaca (Intrarea Justin Georgescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62036,Strada Victor Daimaca (Strada Justin Georgescu),integral#,
